Time,Blade,Action,Type,Interface,Origin,Source,Destination,Service,Access Rule Number,Access Rule Name,Description,SNI,TLS Server Host Name
2026-04-02T15:48:59Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.113,443,,,,,
2026-04-02T15:48:19Z,Firewall,Accept,Connection,,,192.168.100.150,135.233.95.135,443,,Cleanup rule,,,
2026-04-02T15:48:18Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,135.233.95.135,443,,,,,
2026-04-02T15:48:15Z,Firewall,Accept,Connection,,,192.168.100.150,135.233.95.135,443,,Cleanup rule,,,
2026-04-02T15:47:59Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,135.233.95.135,443,,,,,
2026-04-02T15:47:57Z,Firewall,Accept,Connection,,,192.168.100.150,135.233.95.135,443,,Cleanup rule,,,
2026-04-02T15:47:56Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,135.233.95.135,443,,,,,
2026-04-02T15:47:56Z,Firewall,Accept,Connection,,,192.168.100.150,135.233.95.135,443,,Cleanup rule,,,
2026-04-02T15:47:55Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,135.233.95.135,443,,,,,
2026-04-02T15:47:53Z,Firewall,Accept,Connection,,,192.168.100.150,135.233.95.135,443,,Cleanup rule,,,
2026-04-02T15:47:48Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,135.233.95.135,443,,,,,
2026-04-02T15:47:46Z,Firewall,Accept,Connection,,,192.168.100.150,135.233.95.135,443,,Cleanup rule,,,
2026-04-02T15:47:45Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,135.233.95.135,443,,,,,
2026-04-02T15:47:41Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.105,443,,Cleanup rule,,,
2026-04-02T15:47:41Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.113,443,,Cleanup rule,,,
2026-04-02T15:47:40Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.105,443,,,,,
2026-04-02T15:47:40Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.113,443,,,,,
2026-04-02T15:47:36Z,Firewall,Accept,Connection,,,192.168.100.150,135.233.95.135,443,,Cleanup rule,,,
2026-04-02T15:47:35Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,135.233.95.135,443,,,,,
2026-04-02T15:47:33Z,Firewall,Accept,Connection,,,192.168.100.150,135.233.95.135,443,,Cleanup rule,,,
2026-04-02T15:47:31Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,135.233.95.135,443,,,,,
2026-04-02T15:47:29Z,Firewall,Accept,Connection,,,192.168.100.150,135.233.95.135,443,,Cleanup rule,,,
2026-04-02T15:47:27Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,135.233.95.135,443,,,,,
2026-04-02T15:47:27Z,Firewall,Accept,Connection,,,192.168.100.150,135.233.95.135,443,,Cleanup rule,,,
2026-04-02T15:47:26Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,135.233.95.135,443,,,,,
2026-04-02T15:47:24Z,Firewall,Accept,Connection,,,192.168.100.150,135.233.95.135,443,,Cleanup rule,,,
2026-04-02T15:47:22Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,135.233.95.135,443,,,,,
2026-04-02T15:47:22Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,135.233.95.135,443,,,,,
2026-04-02T15:47:20Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:47:19Z,Firewall,Accept,Connection,,,192.168.100.150,23.205.48.77,443,,Cleanup rule,,,
2026-04-02T15:47:19Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:47:19Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,23.205.48.77,443,,,,,
2026-04-02T15:47:19Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,23.205.48.77,443,,,,,
2026-04-02T15:47:19Z,Firewall,Accept,Connection,,,192.168.100.150,72.153.5.96,443,,Cleanup rule,,,
2026-04-02T15:47:18Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.153.5.96,443,,,,,
2026-04-02T15:47:18Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.103,443,,Cleanup rule,,,
2026-04-02T15:47:18Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,72.153.5.96,443,,,,,
2026-04-02T15:47:17Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.105,443,,Cleanup rule,,,
2026-04-02T15:47:17Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.105,443,,,,,
2026-04-02T15:47:17Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.110,443,,Cleanup rule,,,
2026-04-02T15:47:17Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,72.154.7.103,443,,,,,
2026-04-02T15:47:17Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.110,443,,,,,
2026-04-02T15:47:17Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.103,443,,,,,
2026-04-02T15:47:16Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.110,443,,Cleanup rule,,,
2026-04-02T15:47:16Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.110,443,,,,,
2026-04-02T15:46:52Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:46:52Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:46:49Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:46:44Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:46:42Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:46:42Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:46:42Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:46:41Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:46:39Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
2026-04-02T15:46:38Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,20.165.94.54,443,,,,,
2026-04-02T15:46:36Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.102,443,,Cleanup rule,,,
2026-04-02T15:46:36Z,Firewall,Accept,Connection,,,192.168.100.150,72.154.7.112,443,,Cleanup rule,,,
2026-04-02T15:46:36Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.102,443,,,,,
2026-04-02T15:46:36Z,HTTPS Inspection,HTTPS Inspect,Connection,,,192.168.100.150,72.154.7.112,443,,,,,
2026-04-02T15:46:36Z,HTTPS Inspection,HTTPS Inspect,Session,,,192.168.100.150,72.154.7.102,443,,,,,
2026-04-02T15:46:36Z,Firewall,Accept,Connection,,,192.168.100.150,20.165.94.54,443,,Cleanup rule,,,
